,User,CARD_INDEX,Card_Brand,Card_Type,Card_Number,Expires,CVV,Has_Chip,Cards_Issued,Credit_Limit,Acct_Open_Date,Year_PIN_last_Changed,Card_on_Dark_Web
33,10,0,Visa,Debit,4857799018106614,2021-07-01T00:00:00.000,930,1,1,25499,2020-02-01T00:00:00.000,2020,0
34,10,1,Visa,Debit,4324062360619923,2020-02-01T00:00:00.000,358,1,1,18641,2020-02-01T00:00:00.000,2020,0
35,11,0,Visa,Debit,4852639114720724,2023-05-01T00:00:00.000,995,1,1,26019,2020-01-01T00:00:00.000,2020,0
36,12,0,Mastercard,Debit,5656383455895230,2021-01-01T00:00:00.000,547,1,1,25845,2020-02-01T00:00:00.000,2020,0
37,13,0,Visa,Debit,4556928160477229,2023-06-01T00:00:00.000,64,1,2,2365,2007-01-01T00:00:00.000,2009,0
38,13,1,Mastercard,Debit,5515782790823587,2023-06-01T00:00:00.000,419,1,2,18684,2006-07-01T00:00:00.000,2017,0
39,13,2,Visa,Credit,4508388296516458,2021-02-01T00:00:00.000,364,0,2,7400,2020-02-01T00:00:00.000,2020,0
40,14,0,Mastercard,Debit,5548265564669334,2024-12-01T00:00:00.000,145,1,2,4147,2008-12-01T00:00:00.000,2016,0
41,15,0,Visa,Debit (Prepaid),4986270376099447,2022-04-01T00:00:00.000,385,1,1,76,2012-12-01T00:00:00.000,2012,0
42,15,1,Discover,Credit,6726060094896113,2009-01-01T00:00:00.000,105,0,1,4700,2008-12-01T00:00:00.000,2014,0
43,15,2,Visa,Credit,4157109762296149,2021-06-01T00:00:00.000,433,1,2,5800,2007-08-01T00:00:00.000,2011,0
44,15,3,Mastercard,Debit,5231462717450524,2024-03-01T00:00:00.000,754,1,2,12082,2016-08-01T00:00:00.000,2016,0
45,15,4,Mastercard,Credit,5074836567307562,2023-03-01T00:00:00.000,741,0,2,6000,2002-06-01T00:00:00.000,2010,0
46,15,5,Visa,Debit,4986369179342271,2009-11-01T00:00:00.000,367,1,1,620,2002-02-01T00:00:00.000,2014,0
47,16,0,Mastercard,Debit,5892013969159900,2022-08-01T00:00:00.000,879,1,1,14499,2008-01-01T00:00:00.000,2008,0
48,16,1,Mastercard,Debit,5179157151686144,2023-07-01T00:00:00.000,457,1,2,12332,2007-08-01T00:00:00.000,2009,0
49,16,2,Mastercard,Debit,5569640141329524,2024-09-01T00:00:00.000,904,1,1,18424,2013-08-01T00:00:00.000,2013,0
50,16,3,Visa,Credit,4708914311449293,2023-07-01T00:00:00.000,149,0,1,15400,2003-08-01T00:00:00.000,2008,0
51,16,4,Visa,Debit,4795724941278913,2022-02-01T00:00:00.000,136,1,2,14548,2007-08-01T00:00:00.000,2013,0
52,16,5,Mastercard,Credit,5300159511214994,2016-12-01T00:00:00.000,740,1,2,10100,2016-09-01T00:00:00.000,2016,0
53,17,0,Discover,Credit,6580244636542196,2011-04-01T00:00:00.000,416,1,1,11200,2004-02-01T00:00:00.000,2008,0
54,17,1,Mastercard,Debit,5032457975030967,2024-10-01T00:00:00.000,240,1,2,20291,2009-12-01T00:00:00.000,2011,0
55,17,2,Visa,Debit,4382324870900908,2018-08-01T00:00:00.000,852,1,1,32092,2006-01-01T00:00:00.000,2010,0
56,17,3,Mastercard,Debit,5456808094753905,2020-02-01T00:00:00.000,217,1,1,20463,2020-01-01T00:00:00.000,2020,0
57,18,0,Visa,Debit,4465362453388909,2022-08-01T00:00:00.000,738,1,1,15802,2020-01-01T00:00:00.000,2020,0
58,18,1,Visa,Debit,4668447208616693,2020-02-01T00:00:00.000,314,0,2,4612,2020-02-01T00:00:00.000,2020,0
59,18,2,Discover,Credit,6377595394803324,2020-07-01T00:00:00.000,675,1,2,19900,2020-01-01T00:00:00.000,2020,0
60,19,0,Mastercard,Debit (Prepaid),5117090980312402,2020-10-01T00:00:00.000,42,1,1,73,2000-02-01T00:00:00.000,2012,0
61,19,1,Mastercard,Debit,5377858405611171,2024-01-01T00:00:00.000,24,1,1,11858,2009-09-01T00:00:00.000,2010,0
62,19,2,Mastercard,Debit,5585238056278288,2005-03-01T00:00:00.000,749,1,1,9664,1998-01-01T00:00:00.000,2011,0
63,19,3,Mastercard,Debit,5355281784290567,2020-06-01T00:00:00.000,810,1,1,8367,2009-03-01T00:00:00.000,2009,0
64,19,4,Visa,Credit,4150093118072730,2022-06-01T00:00:00.000,135,1,2,6100,2004-02-01T00:00:00.000,2009,0
65,20,0,Mastercard,Debit,5979295728871785,2020-02-01T00:00:00.000,630,1,3,9944,2020-02-01T00:00:00.000,2020,0
66,20,1,Visa,Credit,4473643731469839,2020-01-01T00:00:00.000,771,1,1,7900,2020-01-01T00:00:00.000,2020,0
67,20,2,Visa,Credit,4800116569994473,2020-12-01T00:00:00.000,201,1,1,5600,2020-02-01T00:00:00.000,2020,0
68,21,0,Visa,Debit,4832328468851061,2023-08-01T00:00:00.000,580,1,1,68400,2020-01-01T00:00:00.000,2020,0
69,21,1,Mastercard,Debit,5278075482033392,2023-04-01T00:00:00.000,437,1,2,77237,2020-01-01T00:00:00.000,2020,0
70,22,0,Visa,Debit,4869845530765333,2024-08-01T00:00:00.000,701,1,2,4488,2002-07-01T00:00:00.000,2015,0
71,22,1,Visa,Credit,4231526239204033,2020-02-01T00:00:00.000,499,1,2,12500,2014-11-01T00:00:00.000,2014,0
72,23,0,Mastercard,Debit,5813611925507601,2020-12-01T00:00:00.000,734,1,2,23432,2001-09-01T00:00:00.000,2008,0
73,23,1,Amex,Credit,366520954874839,2022-05-01T00:00:00.000,447,1,2,8800,2005-05-01T00:00:00.000,2011,0
74,24,0,Mastercard,Credit,5392697458480962,2020-02-01T00:00:00.000,886,1,2,12100,2020-02-01T00:00:00.000,2020,0
75,25,0,Mastercard,Debit,5048151330736425,2020-02-01T00:00:00.000,931,1,1,9708,2020-01-01T00:00:00.000,2020,0
76,25,1,Amex,Credit,371643368691556,2021-11-01T00:00:00.000,683,1,2,12000,2009-07-01T00:00:00.000,2011,0
77,25,2,Mastercard,Debit,5700734711260263,2023-11-01T00:00:00.000,230,1,1,11973,2012-03-01T00:00:00.000,2012,0
78,26,0,Mastercard,Debit,5389442391430673,2022-02-01T00:00:00.000,658,1,2,13601,2006-10-01T00:00:00.000,2014,0
79,26,1,Mastercard,Credit,5079116875907423,2024-01-01T00:00:00.000,849,1,2,7800,2020-02-01T00:00:00.000,2020,0
80,27,0,Visa,Debit,4390425683290569,2023-10-01T00:00:00.000,790,1,2,17816,2008-08-01T00:00:00.000,2016,0
81,28,0,Mastercard,Debit,5217568630125704,2021-03-01T00:00:00.000,625,0,2,17707,2010-10-01T00:00:00.000,2010,0
82,28,1,Amex,Credit,397856635669220,2020-11-01T00:00:00.000,2,1,1,9500,2005-05-01T00:00:00.000,2009,0
83,29,0,Mastercard,Debit,5529182104663869,2022-01-01T00:00:00.000,182,1,1,19110,2010-05-01T00:00:00.000,2011,0
84,29,1,Mastercard,Debit,5489017664251289,2023-08-01T00:00:00.000,196,1,1,13428,2016-10-01T00:00:00.000,2016,0
85,29,2,Mastercard,Debit,5793675314684781,2022-06-01T00:00:00.000,43,1,1,24608,2005-08-01T00:00:00.000,2009,0
86,29,3,Mastercard,Debit,5845373196638993,2022-09-01T00:00:00.000,111,1,1,13441,2008-01-01T00:00:00.000,2011,0
87,30,0,Mastercard,Debit (Prepaid),5750288075891808,2020-02-01T00:00:00.000,788,1,2,74,2020-01-01T00:00:00.000,2020,0
88,31,0,Mastercard,Debit,5429789020188285,2012-10-01T00:00:00.000,674,1,1,17872,2008-06-01T00:00:00.000,2008,0
89,31,1,Mastercard,Credit,5301114615829913,2022-09-01T00:00:00.000,425,1,1,12900,2003-12-01T00:00:00.000,2010,0
90,31,2,Mastercard,Debit,5571104183564029,2024-05-01T00:00:00.000,52,1,2,25264,2006-03-01T00:00:00.000,2020,0
91,31,3,Mastercard,Debit,5401948301255038,2022-12-01T00:00:00.000,920,1,2,20634,2005-03-01T00:00:00.000,2007,0
92,32,0,Visa,Credit,4295364044956974,2007-04-01T00:00:00.000,656,1,2,12200,2006-12-01T00:00:00.000,2010,0
93,32,1,Visa,Credit,4737484014371342,2010-02-01T00:00:00.000,221,1,2,5500,2008-01-01T00:00:00.000,2008,0
94,33,0,Visa,Credit,4509365132510769,2020-03-01T00:00:00.000,281,0,2,6600,2020-02-01T00:00:00.000,2020,0
95,33,1,Mastercard,Debit,5068255294282305,2020-11-01T00:00:00.000,890,1,1,25815,2017-12-01T00:00:00.000,2017,0
96,34,0,Amex,Credit,354813103334804,2021-06-01T00:00:00.000,527,1,2,8400,2014-01-01T00:00:00.000,2014,0
97,34,1,Mastercard,Debit,5910929635230868,2020-02-01T00:00:00.000,525,1,1,21628,2001-03-01T00:00:00.000,2008,0
98,34,2,Mastercard,Debit,5400182448188961,2021-10-01T00:00:00.000,412,1,1,24232,2009-07-01T00:00:00.000,2009,0
99,35,0,Mastercard,Debit,5039048842448184,2023-11-01T00:00:00.000,339,1,2,10775,2009-02-01T00:00:00.000,2010,0
100,35,1,Mastercard,Debit (Prepaid),5672012369002302,2020-02-01T00:00:00.000,598,1,2,105,2007-06-01T00:00:00.000,2013,0
101,36,0,Visa,Credit,4336733185475861,2021-01-01T00:00:00.000,221,0,2,7100,2010-11-01T00:00:00.000,2010,0
102,36,1,Mastercard,Debit,5985582173054292,2024-07-01T00:00:00.000,951,1,1,29351,2005-11-01T00:00:00.000,2007,0
103,36,2,Mastercard,Debit,5281056728185174,2020-03-01T00:00:00.000,835,1,2,15125,2008-04-01T00:00:00.000,2012,0
104,36,3,Mastercard,Credit,5615660494634705,2021-11-01T00:00:00.000,865,1,2,8000,2003-11-01T00:00:00.000,2008,0
105,36,4,Mastercard,Debit (Prepaid),5314878099448745,2011-05-01T00:00:00.000,994,1,1,83,2010-11-01T00:00:00.000,2010,0
106,37,0,Amex,Credit,311095486859536,2024-01-01T00:00:00.000,536,1,2,23700,2012-07-01T00:00:00.000,2012,0
107,38,0,Visa,Credit,4624747592911129,2024-02-01T00:00:00.000,986,1,2,700,2016-12-01T00:00:00.000,2016,0
108,39,0,Mastercard,Debit,5595562388674401,2024-07-01T00:00:00.000,594,1,2,7488,2006-07-01T00:00:00.000,2016,0
109,40,0,Visa,Credit,4171022488649333,2002-01-01T00:00:00.000,225,0,1,24900,1999-02-01T00:00:00.000,2010,0
110,40,1,Mastercard,Debit,5246337038556761,2021-06-01T00:00:00.000,638,1,2,30971,2005-03-01T00:00:00.000,2020,0
111,40,2,Amex,Credit,399966116933253,2024-01-01T00:00:00.000,343,1,1,24400,2020-01-01T00:00:00.000,2020,0
112,40,3,Mastercard,Debit,5064137987234665,2020-02-01T00:00:00.000,599,1,2,53549,2020-01-01T00:00:00.000,2020,0
113,40,4,Visa,Debit,4905540969337037,2018-09-01T00:00:00.000,573,1,1,53036,2013-10-01T00:00:00.000,2013,0
114,40,5,Mastercard,Debit,5703849820939467,2024-12-01T00:00:00.000,300,1,1,35750,2011-08-01T00:00:00.000,2011,0
115,40,6,Visa,Debit,4055403312631050,2021-07-01T00:00:00.000,902,1,1,33375,2013-03-01T00:00:00.000,2013,0
116,41,0,Visa,Debit (Prepaid),4587476056357151,2023-07-01T00:00:00.000,858,1,2,22,2010-12-01T00:00:00.000,2010,0
117,41,1,Discover,Credit,6521426249819196,2020-11-01T00:00:00.000,608,1,1,13100,2014-08-01T00:00:00.000,2014,0
118,41,2,Visa,Debit,4199712815274632,2024-10-01T00:00:00.000,440,1,1,16516,2003-07-01T00:00:00.000,2011,0
119,41,3,Mastercard,Credit,5172743861765175,2016-07-01T00:00:00.000,906,1,1,15700,2004-05-01T00:00:00.000,2011,0
120,41,4,Mastercard,Debit,5214643602729093,2024-05-01T00:00:00.000,474,1,1,21058,2003-08-01T00:00:00.000,2007,0
121,42,0,Visa,Debit,4013876625955765,2023-10-01T00:00:00.000,543,1,2,36425,2002-01-01T00:00:00.000,2004,0
122,42,1,Visa,Debit (Prepaid),4966050979388902,2021-03-01T00:00:00.000,585,1,2,91,2016-12-01T00:00:00.000,2016,0
123,42,2,Mastercard,Credit,5247576622089394,2021-09-01T00:00:00.000,379,1,1,13400,2005-04-01T00:00:00.000,2014,0
124,42,3,Mastercard,Credit,5911319900289832,2021-04-01T00:00:00.000,37,1,2,21600,2010-04-01T00:00:00.000,2010,0
125,43,0,Mastercard,Debit,5058769177189803,2020-02-01T00:00:00.000,12,0,1,9090,2020-02-01T00:00:00.000,2020,0
126,44,0,Visa,Debit,4682877628388639,2023-02-01T00:00:00.000,846,0,1,25942,2012-11-01T00:00:00.000,2012,0
127,44,1,Mastercard,Credit,5882842508952744,2019-07-01T00:00:00.000,614,1,2,10700,2003-02-01T00:00:00.000,2013,0
128,44,2,Mastercard,Credit,5637149260486793,2022-07-01T00:00:00.000,630,1,2,4900,2020-02-01T00:00:00.000,2020,0
129,45,0,Mastercard,Credit,5115700923413241,2022-04-01T00:00:00.000,587,0,1,18100,2020-02-01T00:00:00.000,2020,0
130,46,0,Amex,Credit,324640473359364,2024-03-01T00:00:00.000,659,1,2,7200,2020-01-01T00:00:00.000,2020,0
131,47,0,Mastercard,Debit,5033428838471726,2020-02-01T00:00:00.000,546,1,2,22660,2004-07-01T00:00:00.000,2007,0
132,47,1,Discover,Credit,6969946254132652,2022-12-01T00:00:00.000,588,1,1,19800,2011-05-01T00:00:00.000,2011,0
133,47,2,Mastercard,Credit,5181226307106931,2024-11-01T00:00:00.000,820,1,2,15500,2005-01-01T00:00:00.000,2014,0
134,47,3,Visa,Debit (Prepaid),4310689470082080,2023-06-01T00:00:00.000,458,1,1,13,2005-01-01T00:00:00.000,2008,0
135,47,4,Mastercard,Debit,5051066154001741,2021-06-01T00:00:00.000,526,1,2,4317,2001-07-01T00:00:00.000,2011,0
136,48,0,Mastercard,Debit,5456915066505066,2021-12-01T00:00:00.000,553,0,1,14719,2000-03-01T00:00:00.000,2008,0
137,48,1,Mastercard,Debit,5132664334960880,2021-05-01T00:00:00.000,593,1,1,9532,2017-09-01T00:00:00.000,2017,0
138,48,2,Mastercard,Credit,5752873844240568,2020-03-01T00:00:00.000,486,1,1,10900,2006-07-01T00:00:00.000,2014,0
139,49,0,Mastercard,Credit,5494228198326752,2024-09-01T00:00:00.000,428,1,2,6200,2001-11-01T00:00:00.000,2012,0
140,49,1,Mastercard,Debit,5789639625525459,2012-12-01T00:00:00.000,43,1,2,2903,2005-11-01T00:00:00.000,2011,0
141,49,2,Mastercard,Debit,5392957769023387,2020-10-01T00:00:00.000,803,1,2,4355,1999-12-01T00:00:00.000,2010,0
142,50,0,Mastercard,Debit,5182820825620434,2021-04-01T00:00:00.000,126,1,1,28963,2007-11-01T00:00:00.000,2012,0
143,50,1,Mastercard,Debit,5102353988152905,2022-12-01T00:00:00.000,667,1,2,20913,2016-05-01T00:00:00.000,2016,0
144,50,2,Mastercard,Debit,5033135709911480,2024-07-01T00:00:00.000,170,1,1,23344,2010-02-01T00:00:00.000,2010,0
145,50,3,Mastercard,Debit,5611522756791997,2020-01-01T00:00:00.000,882,1,2,33642,2016-10-01T00:00:00.000,2016,0
146,51,0,Mastercard,Debit,5037404409791945,2022-01-01T00:00:00.000,681,1,1,14695,2010-09-01T00:00:00.000,2011,0
147,52,0,Mastercard,Credit,5571363047071896,2023-09-01T00:00:00.000,510,1,1,13200,2007-01-01T00:00:00.000,2015,0
148,52,1,Visa,Debit,4083033843851772,2020-01-01T00:00:00.000,173,1,1,29950,2008-09-01T00:00:00.000,2013,0
149,52,2,Visa,Credit,4829916759482899,2024-07-01T00:00:00.000,768,1,2,4600,2007-12-01T00:00:00.000,2011,0
150,53,0,Mastercard,Debit,5458492483408549,2022-12-01T00:00:00.000,92,1,1,10051,2002-04-01T00:00:00.000,2011,0
151,53,1,Mastercard,Debit,5879094230635425,2015-12-01T00:00:00.000,729,1,2,9796,2003-02-01T00:00:00.000,2013,0
152,54,0,Mastercard,Debit,5769435406360328,2021-10-01T00:00:00.000,957,1,1,17826,2009-10-01T00:00:00.000,2009,0
153,54,1,Mastercard,Debit,5588799529406913,2024-11-01T00:00:00.000,778,1,1,19086,2006-12-01T00:00:00.000,2009,0
154,54,2,Visa,Debit,4410685608952637,2024-06-01T00:00:00.000,265,1,2,17345,2014-10-01T00:00:00.000,2014,0
155,54,3,Visa,Debit,4470822684089911,2020-09-01T00:00:00.000,923,1,2,17976,2013-02-01T00:00:00.000,2013,0
156,54,4,Visa,Debit,4804338444306727,2022-01-01T00:00:00.000,279,1,2,16447,2019-01-01T00:00:00.000,2019,0
157,55,0,Visa,Debit,4194362281636453,2024-10-01T00:00:00.000,271,1,2,29573,2008-10-01T00:00:00.000,2009,0
158,55,1,Mastercard,Debit (Prepaid),5436469451844829,2021-12-01T00:00:00.000,48,1,2,98,2010-12-01T00:00:00.000,2010,0
159,55,2,Mastercard,Debit,5648865641388293,2019-08-01T00:00:00.000,71,1,2,2559,2002-08-01T00:00:00.000,2012,0
160,55,3,Mastercard,Debit,5914243757284149,2012-10-01T00:00:00.000,436,1,2,6552,2003-01-01T00:00:00.000,2010,0
161,56,0,Mastercard,Credit,5193780952753626,2021-01-01T00:00:00.000,591,1,2,13800,2020-01-01T00:00:00.000,2020,0
162,57,0,Mastercard,Debit,5957925302951752,2020-08-01T00:00:00.000,746,1,1,16375,2020-02-01T00:00:00.000,2020,0
163,57,1,Visa,Debit,4557061225558443,2023-05-01T00:00:00.000,780,1,1,14213,2020-01-01T00:00:00.000,2020,0
164,57,2,Visa,Debit (Prepaid),4883222888293069,2020-09-01T00:00:00.000,2,1,1,73,2020-02-01T00:00:00.000,2020,0
165,58,0,Mastercard,Debit,5476407228285230,2022-11-01T00:00:00.000,688,1,2,53466,2007-07-01T00:00:00.000,2013,0
166,59,0,Visa,Credit,4698943729070491,2020-09-01T00:00:00.000,450,1,1,6600,2011-01-01T00:00:00.000,2013,0
167,59,1,Mastercard,Credit,5579147219556308,2022-06-01T00:00:00.000,806,0,2,7200,2015-12-01T00:00:00.000,2015,0
168,60,0,Mastercard,Debit,5099614207935768,2020-11-01T00:00:00.000,856,1,1,2868,2020-01-01T00:00:00.000,2020,0
169,60,1,Discover,Credit,6177503172021506,2024-05-01T00:00:00.000,97,1,1,3400,2020-01-01T00:00:00.000,2020,0
170,61,0,Mastercard,Debit,5188130978534931,2022-01-01T00:00:00.000,446,1,1,12915,2011-10-01T00:00:00.000,2013,0
171,61,1,Visa,Debit (Prepaid),4860320285002452,2023-12-01T00:00:00.000,366,1,2,84,2009-04-01T00:00:00.000,2017,0
172,61,2,Discover,Credit,6417599205270844,2021-07-01T00:00:00.000,504,1,2,17600,2018-04-01T00:00:00.000,2018,0
173,61,3,Mastercard,Debit,5516722949603675,2012-12-01T00:00:00.000,621,1,1,31542,2006-11-01T00:00:00.000,2009,0
174,61,4,Mastercard,Debit,5891053637541514,2022-02-01T00:00:00.000,362,1,2,23049,2013-06-01T00:00:00.000,2013,0
175,61,5,Visa,Debit,4222570131769035,2020-05-01T00:00:00.000,141,1,1,29734,2017-12-01T00:00:00.000,2017,0
176,61,6,Visa,Credit,4453742478192143,2020-01-01T00:00:00.000,346,1,2,27000,2011-09-01T00:00:00.000,2016,0
177,61,7,Mastercard,Debit (Prepaid),5335984658439104,2022-11-01T00:00:00.000,320,1,1,18,2008-03-01T00:00:00.000,2010,0
178,62,0,Mastercard,Debit,5708150083756692,2023-04-01T00:00:00.000,824,1,1,17848,2015-12-01T00:00:00.000,2015,0
179,62,1,Mastercard,Debit,5238684130320063,2022-11-01T00:00:00.000,870,0,1,25563,2010-05-01T00:00:00.000,2010,0
180,62,2,Visa,Credit,4740880792169372,2020-04-01T00:00:00.000,168,1,2,12000,2010-10-01T00:00:00.000,2010,0
181,62,3,Amex,Credit,361648729239104,2018-11-01T00:00:00.000,709,0,2,6600,2012-02-01T00:00:00.000,2012,0
182,63,0,Amex,Credit,363305614201313,2023-09-01T00:00:00.000,943,0,1,5600,2020-01-01T00:00:00.000,2020,0
183,63,1,Visa,Debit,4360859456629853,2022-11-01T00:00:00.000,428,1,3,11873,2020-02-01T00:00:00.000,2020,0
184,63,2,Mastercard,Credit,5498016831726771,2020-02-01T00:00:00.000,871,1,1,7200,2020-02-01T00:00:00.000,2020,0
185,64,0,Amex,Credit,381572912003735,2024-08-01T00:00:00.000,145,1,1,10000,2020-02-01T00:00:00.000,2020,0
186,64,1,Mastercard,Credit,5079302523329059,2023-04-01T00:00:00.000,381,1,2,500,2010-11-01T00:00:00.000,2010,0
187,65,0,Mastercard,Debit,5546998350637125,2020-02-01T00:00:00.000,718,1,1,22697,2020-02-01T00:00:00.000,2020,0
188,65,1,Mastercard,Credit,5326031764905960,2023-08-01T00:00:00.000,437,1,1,18000,2013-03-01T00:00:00.000,2013,0
189,65,2,Mastercard,Debit,5096150037217374,2024-10-01T00:00:00.000,862,1,1,32903,2010-06-01T00:00:00.000,2010,0
190,66,0,Visa,Debit,4489873116412364,2021-08-01T00:00:00.000,547,1,2,12764,1999-05-01T00:00:00.000,2010,0
191,66,1,Mastercard,Credit,5621725368325863,2022-10-01T00:00:00.000,60,1,1,6300,2019-02-01T00:00:00.000,2019,0
192,67,0,Mastercard,Debit,5923138803280580,2022-02-01T00:00:00.000,934,1,2,7541,2008-09-01T00:00:00.000,2013,0
193,67,1,Visa,Debit,4447989421793048,2022-03-01T00:00:00.000,995,1,2,1266,2007-06-01T00:00:00.000,2012,0
194,67,2,Mastercard,Credit,5000307662634780,2020-04-01T00:00:00.000,263,0,1,9500,2014-09-01T00:00:00.000,2014,0
195,68,0,Mastercard,Debit,5707305515533516,2020-04-01T00:00:00.000,203,1,2,1837,2010-06-01T00:00:00.000,2010,0
196,68,1,Mastercard,Debit,5864987017850552,2023-08-01T00:00:00.000,258,1,2,17453,2006-02-01T00:00:00.000,2008,0
197,69,0,Visa,Debit,4228885239928189,2013-10-01T00:00:00.000,543,0,1,28283,2008-05-01T00:00:00.000,2012,0
198,69,1,Visa,Credit,4210237285941913,2020-04-01T00:00:00.000,160,1,1,13500,2010-05-01T00:00:00.000,2012,0
199,69,2,Visa,Credit,4877073763902898,2014-07-01T00:00:00.000,786,1,2,13300,2012-06-01T00:00:00.000,2012,0
200,70,0,Mastercard,Debit,5558040779986506,2021-09-01T00:00:00.000,69,1,2,17941,2009-04-01T00:00:00.000,2009,0
201,71,0,Visa,Credit,4642496218651973,2018-04-01T00:00:00.000,594,1,1,14400,2010-06-01T00:00:00.000,2012,0
202,71,1,Visa,Credit,4244401907291512,2020-04-01T00:00:00.000,120,1,1,4400,2012-07-01T00:00:00.000,2012,0
203,71,2,Mastercard,Credit,5157439545898691,2020-03-01T00:00:00.000,657,1,1,13000,2020-02-01T00:00:00.000,2020,0
204,71,3,Visa,Debit,4079516725179269,2023-04-01T00:00:00.000,72,1,2,22701,2020-02-01T00:00:00.000,2020,0
205,72,0,Mastercard,Credit,5597117503471640,2024-08-01T00:00:00.000,934,0,1,16100,2020-02-01T00:00:00.000,2020,0
206,72,1,Mastercard,Debit,5808372218918202,2023-09-01T00:00:00.000,138,1,2,7629,2020-02-01T00:00:00.000,2020,0
